MidiFile.mid
@342, Channel 9, Program change: Piano 1     
[]0
@481, Channel 1, Program change: Fingered Bs.
[]33
@490, Channel 4, Program change: Overdrive Gt
[4]29
@494, Channel 10, Program change: Reverse Cym.
[4]119
@501, Channel 2, Program change: Piano 2     
[4]1
@508, Channel 5, Program change: DistortionGt
[4, 5]30
@519, Channel 3, Program change: Alto Sax    
[4, 5]65
@527, Channel 7, Program change: Choir Aahs  
[4, 5]52
@564, Channel 8, Program change: Clean Gt.   
[4, 5, 8]27
@593, Channel 6, Program change: Choir Aahs  
[4, 5, 8]52
@31872, Channel 4, Note on:     2
@32215, Channel 4, Note off:    2
@32253, Channel 4, Note on:     2
@32431, Channel 4, Note off:    2
@32447, Channel 4, Note on:     2
@32624, Channel 4, Note off:    2
@32643, Channel 4, Note on:     2
@32992, Channel 4, Note off:    2
@33020, Channel 4, Note on:     2
@33202, Channel 4, Note off:    2
@33213, Channel 4, Note on:     2
@33395, Channel 4, Note off:    2
@34951, Channel 4, Note on:     3
@35190, Channel 4, Note off:    3
@35231, Channel 4, Note on:     3
@35299, Channel 4, Note off:    3
@35329, Channel 4, Note on:     3
@35507, Channel 4, Note off:    3
@35531, Channel 4, Note on:     1
@35709, Channel 4, Note off:    1
@35714, Channel 4, Note on:     2
@35754, Channel 4, Note off:    2
@35762, Channel 4, Note on:     2
@35796, Channel 4, Note off:    2
@35808, Channel 4, Note on:     2
@35842, Channel 4, Note off:    2
@35856, Channel 4, Note on:     2
@35896, Channel 4, Note off:    2
@35903, Channel 4, Note on:     2
@35937, Channel 4, Note off:    2
@35951, Channel 4, Note on:     2
@35985, Channel 4, Note off:    2
@35999, Channel 4, Note on:     2
@36033, Channel 4, Note off:    2
@36047, Channel 4, Note on:     2
@36087, Channel 4, Note off:    2
@36096, Channel 4, Note on:     2
@36130, Channel 4, Note off:    2
@36143, Channel 4, Note on:     2
@36177, Channel 4, Note off:    2
@36189, Channel 4, Note on:     2
@36223, Channel 4, Note off:    2
@36239, Channel 4, Note on:     2
@36279, Channel 4, Note off:    2
@36284, Channel 4, Note on:     2
@36318, Channel 4, Note off:    2
@36332, Channel 4, Note on:     2
@36366, Channel 4, Note off:    2
@36380, Channel 4, Note on:     2
@36414, Channel 4, Note off:    2
@36429, Channel 4, Note on:     2
@36469, Channel 4, Note off:    2
@36480, Channel 4, Note on:     3
@36670, Channel 5, Note on:     5
@36798, Channel 5, Note off:    5
@36801, Channel 5, Note on:     4
@36842, Channel 5, Note off:    4
@36845, Channel 5, Note on:     4
@36858, Channel 4, Note off:    3
@36861, Channel 4, Note on:     1
@36887, Channel 5, Note off:    4
@36890, Channel 5, Note on:     5
@37141, Channel 5, Note off:    5
@37166, Channel 5, Note on:     5
@37245, Channel 5, Note off:    5
@37250, Channel 4, Note off:    1
@37254, Channel 4, Note on:     2
@37262, Channel 5, Note on:     5
@37600, Channel 5, Note off:    5
@37632, Channel 5, Note on:     5
@37725, Channel 5, Note off:    5
@37728, Channel 5, Note on:     1
@37773, Channel 5, Note off:    1
@37776, Channel 5, Note on:     6
@37821, Channel 5, Note off:    6
@37824, Channel 5, Note on:     5
@37917, Channel 5, Note off:    5
