MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.

@400, Channel 5, Program change: Piano 3     

@400, Channel 2, Program change: Strings     

@400, Channel 0, Program change: Piano 3     

@406, Channel 3, Program change: Tenor Sax   

@413, Channel 4, Program change: Syn.Calliope

@425, Channel 6, Program change: Reverse Cym.

@432, Channel 7, Program change: Square Wave 

@438, Channel 8, Program change: Choir Aahs  

@445, Channel 9, Program change: Piano 1     

@451, Channel 10, Program change: Slow Strings

@457, Channel 11, Program change: Clean Gt.   

@464, Channel 13, Program change: Piano 2     

@464, Channel 12, Program change: Sweep Pad   

@470, Channel 14, Program change: Piano 2     

@477, Channel 15, Program change: Piano 2     
@1536, Channel 9, Note on:  F#2
@1681, Channel 9, Note off: F#2
@1920, Channel 9, Note on:  F#2
@2045, Channel 9, Note off: F#2
@2304, Channel 9, Note on:  F#2
@2424, Channel 9, Note off: F#2
@2688, Channel 9, Note on:  F#2
@2779, Channel 9, Note off: F#2
@3072, Channel 9, Note on:  D7
@3125, Channel 9, Note on:  D7
@3173, Channel 9, Note off: D7
@3181, Channel 9, Note off: D7
@3187, Channel 9, Note on:  D7
@3216, Channel 9, Note off: D7
@3217, Channel 9, Note on:  D7
@3244, Channel 9, Note off: D7
@3280, Channel 9, Note on:  D7
@3314, Channel 9, Note off: D7
@3338, Channel 9, Note on:  D7
@3371, Channel 9, Note off: D7
@3381, Channel 9, Note on:  D7
@3407, Channel 9, Note off: D7
@3428, Channel 9, Note on:  D7
@3456, Channel 3, Note on:  F#4
@3456, Channel 10, Note on:  F#4
@3457, Channel 9, Note off: D7
@3467, Channel 9, Note on:  D7
@3487, Channel 9, Note off: D7
@3508, Channel 9, Note on:  D7
@3541, Channel 9, Note off: D7
@3591, Channel 9, Note on:  D7
@3628, Channel 9, Note off: D7
@3645, Channel 9, Note on:  D7
@3667, Channel 9, Note off: D7
@3669, Channel 3, Note off: F#4
@3682, Channel 9, Note on:  D7
@3716, Channel 9, Note off: D7
@3733, Channel 9, Note on:  D7
@3759, Channel 9, Note off: D7
@3779, Channel 9, Note on:  D7
@3813, Channel 9, Note off: D7
@3822, Channel 9, Note on:  D7
@3840, Channel 3, Note on:  D#4
@3840, Channel 10, Note on:  D#4
@3841, Channel 10, Note off: F#4
@3851, Channel 9, Note off: D7
@3865, Channel 9, Note on:  D7
@3899, Channel 9, Note off: D7
@3906, Channel 9, Note on:  D7
@3934, Channel 9, Note off: D7
@3947, Channel 9, Note on:  D7
@3979, Channel 9, Note off: D7
@3995, Channel 9, Note on:  D7
@4022, Channel 9, Note off: D7
@4039, Channel 9, Note on:  D7
@4071, Channel 9, Note off: D7
@4079, Channel 10, Note off: D#4
@4084, Channel 9, Note on:  D7
@4090, Channel 3, Note off: D#4
@4114, Channel 9, Note off: D7
@4125, Channel 9, Note on:  D7
@4157, Channel 9, Note off: D7
@4171, Channel 9, Note on:  D7
@4200, Channel 9, Note off: D7
@4213, Channel 9, Note on:  D7
@4224, Channel 3, Note on:  G#4
@4224, Channel 10, Note on:  G#4
@4246, Channel 9, Note off: D7
@4259, Channel 9, Note on:  D7
@4285, Channel 9, Note off: D7
@4298, Channel 9, Note on:  D7
@4332, Channel 9, Note off: D7
@4342, Channel 9, Note on:  D7
@4371, Channel 9, Note off: D7
@4387, Channel 9, Note on:  D7
@4417, Channel 3, Note off: G#4
@4418, Channel 9, Note off: D7
@4428, Channel 9, Note on:  D7
@4456, Channel 9, Note off: D7
@4471, Channel 9, Note on:  D7
@4502, Channel 9, Note off: D7
@4517, Channel 9, Note on:  D7
@4522, Channel 10, Note off: G#4
@4542, Channel 9, Note off: D7
@4557, Channel 9, Note on:  D7
@4592, Channel 9, Note off: D7
@4608, Channel 3, Note on:  D#4
@4608, Channel 10, Note on:  D#4
@4608, Channel 9, Note on:  D7
@4634, Channel 9, Note off: D7
@4648, Channel 9, Note on:  D7
@4679, Channel 9, Note off: D7
@4693, Channel 9, Note on:  D7
@4718, Channel 9, Note off: D7
@4734, Channel 9, Note on:  D7
@4768, Channel 9, Note off: D7
@4781, Channel 9, Note on:  D7
@4806, Channel 9, Note off: D7
@4820, Channel 9, Note on:  D7
@4854, Channel 9, Note off: D7
@4870, Channel 9, Note on:  D7
@4895, Channel 9, Note off: D7
@4907, Channel 9, Note on:  D7
@4942, Channel 9, Note off: D7
@4956, Channel 9, Note on:  D7
@4983, Channel 9, Note off: D7
@4992, Channel 10, Note on:  D#3
@4998, Channel 9, Note on:  D7
@5031, Channel 9, Note off: D7
@5042, Channel 9, Note on:  D7
@5071, Channel 9, Note off: D7
@5085, Channel 9, Note on:  D7
@5119, Channel 9, Note off: D7
@5131, Channel 9, Note on:  D7
@5158, Channel 9, Note off: D7
@5174, Channel 9, Note on:  D7
@5205, Channel 9, Note off: D7
@5219, Channel 9, Note on:  D7
@5243, Channel 9, Note off: D7
@5261, Channel 9, Note on:  D7
@5287, Channel 9, Note off: D7
@5304, Channel 9, Note on:  D7
@5329, Channel 9, Note off: D7
@5343, Channel 9, Note on:  D7
@5375, Channel 9, Note off: D7
@5376, Channel 10, Note on:  D#2
@5392, Channel 9, Note on:  D7
@5415, Channel 9, Note off: D7
@5432, Channel 9, Note on:  D7
@5461, Channel 9, Note off: D7
@5474, Channel 9, Note on:  D7
@5499, Channel 9, Note off: D7
@5513, Channel 9, Note on:  D7
@5547, Channel 9, Note off: D7
@5562, Channel 9, Note on:  D7
@5585, Channel 9, Note off: D7
@5600, Channel 9, Note on:  D7
@5632, Channel 9, Note off: D7
@5645, Channel 9, Note on:  D7
@5672, Channel 9, Note off: D7
@5688, Channel 9, Note on:  D7
@5718, Channel 9, Note off: D7
@5734, Channel 9, Note on:  D7
@5758, Channel 9, Note off: D7
@5775, Channel 9, Note on:  D7
@5804, Channel 9, Note off: D7
@5817, Channel 9, Note on:  D7
@5842, Channel 9, Note off: D7
@5861, Channel 9, Note on:  D7
@5889, Channel 9, Note off: D7
@5902, Channel 9, Note on:  D7
@5927, Channel 9, Note off: D7
@5943, Channel 9, Note on:  D7
@5974, Channel 9, Note off: D7
@5983, Channel 9, Note on:  D7
@6009, Channel 9, Note off: D7
@6028, Channel 9, Note on:  D7
@6059, Channel 9, Note off: D7
@6067, Channel 9, Note on:  D7
@6071, Channel 3, Note off: D#4
@6092, Channel 9, Note off: D7
@6144, Channel 0, Note on:  D#5
@6144, Channel 0, Note on:  F#4
@6144, Channel 0, Note on:  A#4
@6149, Channel 1, Note on:  D#2
@6150, Channel 9, Note on:  C2
@6153, Channel 3, Note on:  F#4
@6158, Channel 10, Note off: D#4
@6213, Channel 10, Note off: D#3
@6237, Channel 10, Note off: D#2
@6257, Channel 9, Note off: C2
@6300, Channel 0, Note off: A#4
@6312, Channel 0, Note off: F#4
@6318, Channel 0, Note off: D#5
@6364, Channel 3, Note off: F#4
@6400, Channel 3, Note on:  F4
@6478, Channel 1, Note off: D#2
@6522, Channel 9, Note on:  D#2
@6524, Channel 3, Note off: F4
@6528, Channel 0, Note on:  D#5
@6528, Channel 0, Note on:  F#4
@6528, Channel 0, Note on:  A#4
@6529, Channel 9, Note on:  E2
@6534, Channel 3, Note on:  D#4
@6573, Channel 9, Note off: D#2
@6606, Channel 9, Note off: E2
@6663, Channel 0, Note off: A#4
@6684, Channel 0, Note off: D#5
@6685, Channel 0, Note off: F#4
@6760, Channel 9, Note on:  D#2
@6765, Channel 9, Note on:  C2
@6785, Channel 3, Note on:  F4
@6794, Channel 3, Note off: D#4
@6824, Channel 9, Note off: C2
@6878, Channel 9, Note off: D#2
@6912, Channel 0, Note on:  D#5
@6912, Channel 0, Note on:  F#4
@6912, Channel 0, Note on:  A#4
@6918, Channel 9, Note on:  C2
@6925, Channel 3, Note on:  F#4
@6945, Channel 3, Note off: F4
@7015, Channel 9, Note off: C2
@7059, Channel 0, Note off: A#4
@7070, Channel 0, Note off: D#5
@7076, Channel 0, Note off: F#4
@7239, Channel 3, Note off: F#4
@7296, Channel 0, Note on:  D#5
@7296, Channel 0, Note on:  F#4
@7296, Channel 0, Note on:  A#4
@7296, Channel 9, Note on:  E2
@7320, Channel 9, Note on:  D#2
@7352, Channel 9, Note off: E2
@7456, Channel 0, Note off: A#4
@7457, Channel 0, Note off: D#5
@7474, Channel 0, Note off: F#4
@7489, Channel 9, Note off: D#2
@7677, Channel 1, Note on:  D#2
@7680, Channel 0, Note on:  D#5
@7680, Channel 0, Note on:  F#4
@7680, Channel 0, Note on:  A#4
@7686, Channel 9, Note on:  C2
@7793, Channel 9, Note off: C2
@7834, Channel 0, Note off: D#5
@7836, Channel 0, Note off: A#4
@7844, Channel 0, Note off: F#4
@8053, Channel 9, Note on:  D#2
@8064, Channel 0, Note on:  D#5
@8064, Channel 0, Note on:  F#4
@8064, Channel 0, Note on:  A#4
@8065, Channel 9, Note on:  E2
